id,fipstate,fipscty,naics,naics_description,emp,qp1,ap,est,n1_4,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000,geography,avg_emp_per_est,avg_payroll_per_emp,est_size_category,naics_sector,small_biz_pct,created_at
1,48,201,11,"Agriculture, Forestry, Fishing",2509,31306,125224,193,88,40,33,16,5,4,2,1,0,Harris County,13.0,49909.92,Medium,11,83.4,2025-12-05 16:35:33
2,48,201,21,"Mining, Quarrying, Oil/Gas",6042,78049,312196,318,121,49,54,34,7,8,3,0,0,Harris County,19.0,51670.97,Large,21,70.4,2025-12-05 16:35:33
3,48,201,22,Utilities,18880,224284,897139,1180,510,254,168,110,25,29,10,1,2,Harris County,16.0,47517.96,Large,22,79.0,2025-12-05 16:35:33
4,48,201,23,Construction,28752,351148,1404592,1797,721,348,271,126,71,23,15,6,4,Harris County,16.0,48851.98,Large,23,74.6,2025-12-05 16:35:33
5,48,201,31,Manufacturing - Food/Textile,5067,58631,234526,563,252,93,91,65,31,12,4,0,0,Harris County,9.0,46284.98,Large,31,77.4,2025-12-05 16:35:33
6,48,201,32,Manufacturing - Wood/Chemical,20655,257918,1031675,1377,539,293,152,145,57,32,18,5,1,Harris County,15.0,49947.95,Large,32,71.5,2025-12-05 16:35:33
7,48,201,33,Manufacturing - Metal/Electronics,22000,245778,983114,1000,545,247,109,98,55,19,8,1,0,Harris County,22.0,44687.0,Large,33,90.1,2025-12-05 16:35:33
8,48,201,42,Wholesale Trade,14410,145418,581674,1441,766,247,197,124,32,31,17,10,1,Harris County,10.0,40366.0,Large,42,84.0,2025-12-05 16:35:33
9,48,201,44,Retail Trade - Motor/Furniture,30375,217150,868603,675,300,102,71,41,17,10,9,4,0,Harris County,45.0,28595.98,Large,44,70.1,2025-12-05 16:35:33
10,48,201,45,Retail Trade - Electronics/Food,49696,496028,1984112,1553,843,246,156,110,55,17,9,3,3,Harris County,32.0,39924.98,Large,45,80.2,2025-12-05 16:35:33
11,48,201,48,Transportation - Air/Rail/Water,21846,251108,1004435,993,494,189,121,110,31,28,10,6,0,Harris County,22.0,45977.98,Large,48,81.0,2025-12-05 16:35:33
12,48,201,49,Transportation - Postal/Warehouse,32580,499117,1996469,1629,777,392,218,105,95,30,14,8,2,Harris County,20.0,61278.97,Large,49,85.1,2025-12-05 16:35:33
13,48,201,51,Information,9330,145620,582481,1555,557,254,207,175,75,27,15,10,3,Harris County,6.0,62430.98,Large,51,65.5,2025-12-05 16:35:33
14,48,201,52,Finance and Insurance,13563,311179,1244717,1507,710,253,186,136,79,35,12,11,2,Harris County,9.0,91772.99,Large,52,76.2,2025-12-05 16:35:33
15,48,201,53,Real Estate,8020,76711,306845,802,351,147,86,42,42,9,10,5,1,Harris County,10.0,38259.98,Large,53,72.8,2025-12-05 16:35:33
16,48,201,54,Professional Services,8010,175923,703694,445,185,93,71,39,17,7,2,0,0,Harris County,18.0,87851.94,Large,54,78.4,2025-12-05 16:35:33
17,48,201,55,Management of Companies,16913,261242,1044969,1301,682,320,207,131,68,16,10,9,1,Harris County,13.0,61784.96,Large,55,92.9,2025-12-05 16:35:33
18,48,201,56,Administrative Support,8302,81093,324375,593,302,90,64,43,35,9,7,1,1,Harris County,14.0,39071.91,Large,56,76.9,2025-12-05 16:35:33
19,48,201,61,Educational Services,2786,33378,133513,199,87,43,35,22,8,3,1,1,0,Harris County,14.0,47922.83,Medium,61,82.9,2025-12-05 16:35:33
20,48,201,62,Health Care,3740,35809,143238,170,68,27,18,10,5,3,1,0,0,Harris County,22.0,38298.93,Medium,62,66.5,2025-12-05 16:35:33
21,48,201,71,Arts and Entertainment,38262,400096,1600384,1822,866,453,323,155,108,37,24,11,1,Harris County,21.0,41826.98,Large,71,90.1,2025-12-05 16:35:33
22,48,201,72,Accommodation and Food Services,52353,400749,1602996,1939,851,345,329,183,62,30,11,14,2,Harris County,27.0,30618.99,Large,72,78.6,2025-12-05 16:35:33
23,48,201,81,Other Services,7056,106877,427508,588,307,122,69,51,28,6,8,2,1,Harris County,12.0,60587.87,Large,81,84.7,2025-12-05 16:35:33
24,48,201,92,Public Administration,19459,218957,875830,1769,916,429,189,168,89,36,11,3,4,Harris County,11.0,45008.99,Large,92,86.7,2025-12-05 16:35:33
