fipstate,fipscty,naics,emp_nf,emp,qp1_nf,qp1,ap_nf,ap,est,n1_4,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000,n1000_1,n1000_2,n1000_3,n1000_4,avg_emp_per_est,avg_annual_payroll_per_emp,naics_sector
48,201,------,,1513112,,26351,,105406,16824,6506,2758,1768,1464,611,366,21,15,3315,1989,828,331,167,89.93770803613884,69.6617302618709,--
48,201,11,,119974,,1464,,5856,4964,2176,1146,498,448,203,83,11,23,376,225,94,37,20,24.168815471394037,48.81057562471869,11
48,201,21,,168263,,2127,,8510,3317,1182,649,352,318,74,52,22,14,654,392,163,65,34,50.72746457642448,50.57558702745107,21
48,201,22,,85861,,1704,,6818,2366,1131,559,281,171,106,31,9,8,70,42,17,7,4,36.28951817413356,79.40741430917413,22
48,201,23,,150021,G,2594,,10376,1901,711,357,284,155,69,45,16,7,257,154,64,25,14,78.91688584955287,69.16365042227422,23
48,201,31,,27350,,331,,1324,2693,1323,639,311,222,85,76,13,4,20,12,5,2,1,10.155959896026737,48.409506398537474,31
48,201,42,,162969,,2280,,9122,4009,1535,1001,503,218,85,48,26,16,577,346,144,57,30,40.65078573210277,55.97383551472979,42
48,201,44,,148704,,1860,G,7443,4334,1876,1058,580,241,201,108,34,8,228,136,57,22,13,34.311029072450395,50.05245319561007,44
48,201,48,,141225,,2488,,9953,2657,1132,426,348,244,93,37,11,3,363,217,90,36,20,53.15205118554761,70.47619047619048,48
48,201,51,,138085,,1407,,5630,3155,1543,750,446,206,68,86,30,2,24,14,6,2,2,43.76703645007924,40.77198826809574,51
48,201,52,,43657,,724,,2898,1530,752,254,193,122,74,43,11,5,76,45,19,7,5,28.533986928104575,66.38110726802117,52
48,201,53,,124845,,2371,G,9486,3559,1486,622,367,181,130,77,3,13,680,408,170,68,34,35.078673784771006,75.98221795025832,53
48,201,54,,28574,,432,,1730,3206,1256,636,407,276,148,69,10,8,396,237,99,39,21,8.912663755458516,60.54455099041086,54
48,201,55,,121038,,1707,,6831,3402,1631,528,451,280,74,83,27,3,325,195,81,32,17,35.57848324514991,56.43682149407624,55
48,201,56,,83018,,1214,,4856,2003,963,315,281,185,45,46,11,1,156,93,39,15,9,41.44682975536695,58.493338793996486,56
48,201,61,,137307,,2034,,8136,3829,1836,919,414,191,121,109,30,6,203,121,50,20,12,35.85975450509272,59.25408027267364,61
48,201,62,,50579,,601,,2407,4486,1716,699,613,237,131,49,23,20,998,598,249,99,52,11.274855104770397,47.588920302892504,62
48,201,71,,27962,,446,,1784,2022,912,350,214,191,55,44,13,4,239,143,59,23,14,13.828882294757666,63.800872612831704,71
48,201,72,,185564,,3184,,12738,2173,838,411,290,141,64,54,3,5,367,220,91,36,20,85.39530602853198,68.64478023754607,72
48,201,81,,142614,,1804,G,7217,2246,1100,534,323,153,55,59,16,7,0,0,0,0,0,63.496883348174535,50.605129931142805,81
48,201,99,,183903,,2029,,8118,2952,1422,520,426,257,72,46,8,6,195,117,48,19,11,62.297764227642276,44.14283616906739,99
48,201,441,,5329,G,58,,232,614,253,109,61,54,24,9,4,1,99,59,24,9,7,8.67915309446254,43.53537249014825,44
48,201,442,,37755,,391,,1564,405,164,83,49,21,12,11,3,0,62,37,15,6,4,93.22222222222223,41.424976824261684,44
48,201,443,G,38692,,729,,2916,824,338,174,88,79,37,24,6,3,75,45,18,7,5,46.95631067961165,75.36441641683035,44
48,201,444,,45903,,855,,3422,943,444,166,131,52,43,25,2,3,77,46,19,7,5,48.67762460233298,74.54850445504651,44
48,201,445,,16609,,170,,680,566,214,103,81,55,16,12,2,2,81,48,20,8,5,29.34452296819788,40.941658137154555,44
48,201,446,,13702,,216,G,866,634,315,97,82,42,27,11,6,0,54,32,13,5,4,21.61198738170347,63.202452196759594,44
48,201,447,,2110,,32,,128,993,467,217,145,86,25,18,9,4,22,13,5,2,2,2.1248741188318228,60.66350710900474,44
48,201,448,,35234,,461,,1845,715,294,136,82,40,23,20,5,3,112,67,28,11,6,49.27832167832168,52.36419367656241,44
48,201,451,,21914,,282,,1128,100,41,20,13,7,3,1,0,0,15,9,3,1,2,219.14,51.4739435977001,45
48,201,452,,45506,,743,,2972,1155,462,267,158,96,30,16,1,1,124,74,31,12,7,39.3991341991342,65.31006900188986,45
48,201,453,,43272,,681,,2727,948,433,178,113,54,38,26,8,4,94,56,23,9,6,45.64556962025316,63.01996672212979,45
48,201,454,,32444,,340,,1362,1160,449,272,142,104,46,34,7,5,101,60,25,10,6,27.96896551724138,41.98002712365923,45
48,201,5411,,7491,,137,,548,308,133,73,42,22,8,4,2,1,23,13,5,2,3,24.321428571428573,73.15445200907756,54
48,201,5412,,12190,,156,,626,89,34,16,11,5,2,2,0,0,19,11,4,1,3,136.96629213483146,51.353568498769484,54
48,201,5413,,14146,,200,,803,155,75,32,20,14,6,2,0,0,6,3,1,0,2,91.26451612903226,56.7651632970451,54
48,201,5414,,9318,,162,,651,264,114,55,29,16,8,2,1,0,39,23,9,3,4,35.29545454545455,69.86477784932389,54
48,201,5415,,10695,,164,,656,115,55,24,15,6,3,3,0,0,9,5,2,0,2,93.0,61.337073398784476,54
